,ZIP Code,City,Population,Households,AVG Income
,91423,Sherman Oaks,"32,111","14,876","$79,028"
,91426,Encino,,,
,91436,Encino,"15,109","5,552","$135,585"
,91470,Van Nuys,,,
,91482,Van Nuys,,,
,91495,Sherman Oaks,,,
,91496,Van Nuys,,,
,91499,Van Nuys,,,
,91500,Burbank,,,
,91501,Burbank,"21,758","8,235","$60,158"
,91502,Burbank,"12,140","5,001","$40,057"
,91503,Burbank,,,
,91504,Burbank,"26,205","9,180","$70,608"
,91505,Burbank,"32,039","13,180","$76,357"
,91506,Burbank,"19,298","7,555","$71,495"
,91507,Burbank,,,
,91508,Burbank,,,
,91510,Burbank,,,
,91521,Burbank,,,
,91522,Burbank,,,
,91523,Burbank,,,
,91526,Burbank,,,
,91601,North Hollywood,"41,430","15,970","$48,499"
,91602,North Hollywood,"19,029","9,277","$65,920"
,91603,North Hollywood,,,
,91604,Studio City,"29,792","14,292","$90,801"
,91605,North Hollywood,"58,287","15,357","$42,254"
,91606,North Hollywood,"46,575","14,903","$41,498"
,91608,Universal City,,,
,91609,North Hollywood,,,
,91610,Toluca Lake,,,
,91611,North Hollywood,,,
,91612,North Hollywood,,,
,91614,Studio City,,,
,91615,North Hollywood,,,
,91616,North Hollywood,,,
,91617,Valley Village,,,
,91618,North Hollywood,,,
,91702,Azusa,"62,349","15,455","$55,651"
,91706,Baldwin Park,"77,734","17,504","$51,706"
,91711,Claremont,"31,058","11,868","$89,161"
,91714,City Of Industry,,,
,91715,City Of Industry,,,
,91716,City Of Industry,,,
,91722,Covina,"35,528","10,079","$66,512"
,91723,Covina,"18,881","6,296","$60,911"
,91724,Covina,"26,434","8,508","$76,065"
,91731,El Monte,"28,774","8,007","$35,120"
,91732,El Monte,"62,503","14,700","$41,020"
,91733,Soouth El Monte,"44,862","9,918","$39,379"
,91734,El Monte,,,
,91735,El Monte,,,
,91740,Glendora,"25,554","8,376","$67,063"
,91741,Glendora,"26,462","9,126","$84,957"
,91744,La Puente,"83,815","18,648","$58,641"
,91745,Hacienda Heights,"54,738","16,188","$78,000"
,91746,La Puente,"29,709","6,743","$60,178"
,91747,La Puente,,,
,91748,Rowland Heights,"47,566","13,311","$58,502"
,91749,La Puente,,,
,91750,La Verne,"33,734","11,944","$75,635"
,91754,Monterey Park,"34,780","11,193","$57,463"
,91755,Monterey Park,"28,026","8,760","$49,220"
,91756,Monterey Park,,,
,91765,Diamond Bar,"48,436","15,039","$90,522"
,91766,Pomona,"73,860","17,708","$49,895"
,91767,Pomona,"51,307","13,691","$50,551"
,91768,Pomona,"31,482","7,885","$44,859"
,91769,Pomona,,,
,91770,Rosemead,"61,827","16,588","$46,729"
,91771,Rosemead,,,
,91772,Rosemead,,,
,91773,San Dimas,"32,514","11,941","$77,742"
,91775,San Gabriel,"24,461","8,227","$75,876"
,91776,San Gabriel,"39,550","11,776","$46,746"
,91778,San Gabriel,,,
,91780,Temple City,"34,966","11,318","$63,410"
,91788,Walnut,,,
,91789,Walnut,"43,248","12,891","$93,301"
,91790,West Covina,"46,350","12,751","$70,888"
,91791,West Covina,"34,505","10,236","$71,528"
,91792,West Covina,"31,593","9,154","$66,489"
,91793,West Covina,,,
,91802,Alhambra,,,
,91803,Alhambra,"30,731","9,894","$56,928"
,91804,Alhambra,,,
,91896,Alhambra,,,
,91899,Alhambra,,,
